id,user_id,age_year,gender_type,album_id,album_name,created_date,content,is_quality,comment_liked_cnt
41057043,144599202,90,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2024/4/7,真是书荒中的一道曙光 听惯了紫襟、头陀、大斌的声线。其他主播的声音根本听不进去，不顺耳还听的烦。这本书挺好，主播声音极其顺耳，配音都挺悦耳，让人心情舒畅。推荐推荐,Y,4
43672852,464947510,-99,女生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2025/4/3,超好听，当之无愧的克苏鲁天花板，神秘感，玄幻感，超赞。但有一说一，乌贼太多刀了，容易泪目（准备纸巾）。还是挺不错的，推荐👍。8082Audio万岁🎉,Y,4
44828655,516988712,-99,男生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/8/28,陆陆续续听了半年 这部作品陪伴了我无数个工作的夜晚 前几天也是很不舍的把最后几集听掉了 戒断了好几天 也尝试听了别的作品也还是没走出来 真的很感激能听到那么优秀的作品 真心感谢8082参与制作的每一位老师 感谢你们让每一位角色都变得更有血有肉有灵魂（另外真的好想听8082出宿命之环）,Y,4
44915151,45793112,80,男生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/9/7,听不进的朋友，试试反复听几遍前些集，听不太懂就再听，8082这个绝对是有声书排名前几名的存在，听不进去的主要原因是人物的名字与小说的文化背景，有点不在咱们国人的舒适圈内，熟悉之后，这本一定会让你连续二刷的存在。,Y,4
44126104,226284303,0,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2025/5/24,"《宿命之环》什么时候拿下？
起点都完结很久了阅文还不放手
真希望8082原班原马在喜马拉雅把《宿命之环》给播了😭",Y,4
44419218,82549653,70,女生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/6/29,"一直知道这书好听，但是太长了，下不了决心听。
终于开始听了，刹不住车。
大爱唐子晰和追马，慢慢听起来。",Y,4
41931189,322931800,95,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2024/7/26,被国家图书永久收藏的书，是有实力的，很多人觉得前面节奏慢。看完之后发现前面的才是精华,Y,4
44961723,512929038,-99,男生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/9/15,五年书虫重点好评，很难遇到让我还能读完的小说了，配音用心相当耐听,Y,4
44696602,96437504,-99,男生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/8/9,书很好，配音也很好，有笑有泪，就是被部分剧情被刀惨了，呜呜,Y,4
41566404,435676560,-99,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2024/6/9,实在听不下去，那些说这是网文天花板，我听五十多级的一点都没听出来天花板在哪里，难道是因为写的是国外的什么都好，恕我欣赏不来，,Y,4
41931189,322931800,95,男生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2024/7/26,被国家图书永久收藏的书，是有实力的，很多人觉得前面节奏慢。看完之后发现前面的才是精华,Y,4
42502397,51937969,-99,男生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2024/10/17,听了4000小时的小说，《诡秘之主》算是目前个人心中的第一，整本书的剧情精彩程度无可厚非，逻辑清晰，一开始也因为外国类型的人名有些许抵触，但是！越听越入戏，真的难得有一篇小说，能把每一个配角都写的生动无比，同样听了喜马拉雅目前排行榜前列的打更人，悍刀行等，但是剧情的合理成度，配角的描写，完全不能和诡秘相比，我很难想象出现了这样一本书，让我能反复一遍又一遍去听，只要你放下对外国人名的抵触，相信我，你会爱上这本书，在这本书里，你几乎找不到漏洞和逻辑不通的的地方，配音制作甚至是目前所有有声书之最，很多时候都会想，到底是怎样一个团队，才能让书中每一个人物配音都是你想象中的配音，这本书做到了！,Y,4
40960697,321580711,95,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2024/3/27,希望主播团队能拿到宿命之环的版权，别被那些流水线流水账主播和团队拿去嚯嚯了,Y,4
44480980,137110544,-99,男生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/7/8,知道诡秘这本书时一看介绍，“哦，西幻的克鲁苏还带朋克元素，不感兴趣”。就一直没关注，直到偶然在这看到已经完结听了一下，就被主播们精彩演播和故事深深吸引～真香,Y,4
41698331,421095869,-99,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2024/6/27,看过原著来听的，反复听好几遍了，听不腻，配音演员都配的很好。,Y,4
39957644,491114409,-99,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2023/12/6,这旁白的配音说话好慢啊，配音的时候是在打瞌睡吗，开1.25倍其他角色配音又容易听不清。。。。。,Y,4
43652193,395183275,95,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2025/4/1,"盥洗室是他的神国！
神国里有着豪迈的歌颂者谱写赞歌：“
冲激！冲激！冲激！大海啊冲激灰而暗的岩石！
冲激！冲激！冲激！大海啊在岩石脚下崩裂！”
还有着目光锐利的神探苏西和她美妙的从者奥黛丽。
上有老幼病残四天使，
下坐日月星三护法，
咸鱼王在左，星之上将在右。
大帝和穷神告诉了我们人生的意义不仅在沉浸于魔女的欢愉，还有那善良而纯粹的人性光辉，面对逆境要有积极乐观的态度，成为神灵也不要失去对凡人的怜悯。
赞美你！不属于这个时代的愚者！灰雾之上的黄黑之王！",Y,4
44414162,408959202,80,男生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/6/29,听了三遍了，去看了一下动漫，感觉配音还是8082做的好。,Y,4
41538393,45004135,80,女生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2024/6/5,我能说什么呢，唯一一本1倍速听到最后，还感觉没有完全理解，并且意犹未尽的，制作精良，整个树立起了一座丰满的中世纪模型，庞大的世界观，其中不乏人性的思考，深切的情谊，就是战斗这一块一旦不仔细听，一会就跟不上了，头大，只能有时间再二刷了😂😂,Y,4
44558105,108585372,80,女生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/7/20,专辑质量还不错，内容很精彩。我很喜欢特别特别特别喜欢这本书，要是有追诡秘的，记得回复一下。我超爱克莱恩。大家认为这本书的主女主角到底是谁？,Y,4
43084521,471673871,-99,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2025/1/12,"真的是最强最完美有声书，没有之一
他排第一，回头一看都看不到第二的那种程度",Y,3
43715972,234633861,95,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2025/4/9,2000多集，偶有瑕疵可以理解，总归我来喜马拉雅就是为了听诡秘的，感谢你们的付出。,Y,3
43522658,343486775,90,男生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/3/18,一开始听有点无趣，不过坚持听30集就开始上头了。写的很好，脑洞大开，有的地方又反映了各种书中的社会现实，有些地方平淡的文字却让人听的泪目，很戳人，搞笑的地方又很诙谐幽默。有人物的闪光点，也有矛盾的人性。感谢终于找到这样一部值得反复听的作品，很nice!,Y,3
42801120,304208819,90,女生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2024/12/3,"封神巨作！！！本人没文采，借个评论推荐一下诡秘！最后，赞美愚者！！！！！
某个乐子人写的关于愚者的小段子：
不属于这个时代的怂神，盥洗室之上的贫穷主宰，执掌甜冰茶的报销与举报之王，我祈求您的注视；盥洗室是您的神国，马桶是您的圣座。您是一，也是万，我们行走在盥洗室，如同行走在您的国。",Y,3
43839227,521553879,-99,女生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/4/24,听了快十遍了，剧情已经很熟悉，只是有的时候空闲为了填满耳朵，或者催眠,Y,3
43261622,241433220,10,女生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/2/12,剧情没得喷，都不用说声音，制作绝对够精良，声音个人觉得也感觉十分符合人设，推推推,Y,3
